1323,1634477725,1310,5
1310,1634477730,1296,5
1296,1634477735,1284,5
1284,1634477740,1271,5
1271,1634477745,1263,5
1263,1634477750,1259,5
1259,1634477755,1248,5
1248,1634477760,1235,5
1235,1634477765,1224,5
1224,1634477770,1219,5
1219,1634477775,1213,5
1213,1634477780,1209,5
1209,1634477785,1201,5
1201,1634477790,1192,5
1192,1634477795,1183,5
1183,1634477800,1178,5
1178,1634477805,1176,5
1176,1634477810,1176,5
1176,1634477815,1175,5
1175,1634477820,1175,5
1175,1634477825,1172,5
1172,1634477830,1165,5
1165,1634477835,1160,5
1160,1634477840,1149,5
1149,1634477845,1141,5
1141,1634477850,1134,5
1134,1634477855,1126,5
1126,1634477860,1114,5
1114,1634477865,1105,5
1105,1634477870,1101,5
1101,1634477875,1096,5
1096,1634477880,1090,5
1090,1634477885,1086,5
1086,1634477890,1085,5
1085,1634477895,1053,5
1053,1634477900,1050,5
1050,1634477905,1045,5
1045,1634477910,1033,5
1033,1634477915,1031,5
1031,1634477920,1029,5
1029,1634477925,1025,5
1025,1634477930,1014,5
1014,1634477935,1008,5
1008,1634477940,1007,5
1007,1634477945,999,5
999,1634477950,1802,5
1802,1634477955,970,5
970,1634477960,974,4
974,1634477964,979,6
979,1634477970,980,5
980,1634477975,980,2
980,1634477977,570,3712
570,1634481689,570,5
570,1634481694,571,6
571,1634481700,576,5
576,1634481705,581,5
581,1634481710,584,5
584,1634481715,602,10
602,1634481725,614,5
614,1634481730,623,5
623,1634481735,633,5
633,1634481740,643,5
643,1634481745,654,5
654,1634481750,660,5
660,1634481755,660,5
660,1634481760,660,5
660,1634481765,660,5
660,1634481770,659,5
659,1634481775,659,5
659,1634481780,659,5
659,1634481785,659,5
659,1634481790,663,5
663,1634481795,672,5
672,1634481800,677,5
677,1634481805,678,5
678,1634481810,678,5
678,1634481815,678,5
678,1634481820,678,5
678,1634481825,685,5
685,1634481830,695,5
695,1634481835,705,5
705,1634481840,714,5
714,1634481845,720,5
720,1634481850,726,5
726,1634481855,740,5
740,1634481860,753,5
753,1634481865,764,5
764,1634481870,771,5
771,1634481875,772,5
772,1634481880,773,5
773,1634481885,778,5
778,1634481890,788,5
788,1634481895,801,5
801,1634481900,813,5
813,1634481905,826,5
826,1634481910,838,5
838,1634481915,846,5
846,1634481920,848,5
848,1634481925,848,5
848,1634481930,848,5
848,1634481935,849,5
849,1634481940,578,81045
578,1634562985,591,5
591,1634562990,606,5
606,1634562995,614,5
614,1634563000,615,5
615,1634563005,617,5
617,1634563010,616,5
616,1634563015,616,5
616,1634563020,618,5
618,1634563025,623,5
623,1634563030,632,5
632,1634563035,642,5
642,1634563040,655,5
655,1634563045,666,5
666,1634563050,677,5
677,1634563055,682,5
682,1634563060,677,5
677,1634563065,685,5
685,1634563070,695,5
695,1634563075,706,5
706,1634563080,716,5
716,1634563085,719,5
719,1634563090,719,5
719,1634563095,719,5
719,1634563100,719,5
719,1634563105,719,5
719,1634563110,719,5
719,1634563115,719,5
719,1634563120,719,5
719,1634563125,719,5
719,1634563130,718,4
718,1634563134,719,6
719,1634563140,718,5
718,1634563145,719,5
719,1634563150,726,5
726,1634563155,747,5
747,1634563160,762,5
762,1634563165,777,5
777,1634563170,778,5
778,1634563175,789,5
789,1634563180,802,5
802,1634563185,815,5
815,1634563190,829,5
829,1634563195,842,5
842,1634563200,850,5
850,1634563205,854,5
854,1634563210,864,5
864,1634563215,873,5
873,1634563220,883,5
883,1634563225,902,5
902,1634563230,913,5
913,1634563235,913,5
913,1634563240,912,4
912,1634563244,912,6
